host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
2011-08-11,96%,100%,f,3.0,t,t,47.636289038357184,-122.37102519997764,t,Apartment,4,1.0,1.0,1.0,,$85.00,,,2,$5.00,1,365,t,14,41,71,346,207,2011-11-01,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,2,4.07
2013-02-21,98%,100%,t,6.0,t,t,47.63912312136253,-122.36566646439582,t,Apartment,4,1.0,1.0,1.0,,$150.00,$100.00,$40.00,1,$0.00,2,90,t,13,13,16,291,43,2013-08-19,2015-12-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict,t,t,6,1.48
2014-06-12,67%,100%,f,2.0,t,t,47.62972413157736,-122.3694831756176,t,House,11,4.5,5.0,7.0,,$975.00,"$1,000.00",$300.00,10,$25.00,4,30,t,1,6,17,220,20,2014-07-30,2015-09-03,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict,f,f,2,1.15
2013-11-06,,,f,1.0,t,t,47.638473201766416,-122.36927912263018,t,Apartment,3,1.0,0.0,2.0,,$100.00,,,1,$0.00,1,1125,t,0,0,0,143,0,,,,,,,,,,f,f,flexible,f,f,1,
2011-11-29,100%,,f,2.0,t,t,47.63291840276724,-122.37247063402224,t,House,6,2.0,3.0,3.0,,$450.00,$700.00,$125.00,6,$15.00,1,1125,t,30,60,90,365,38,2012-07-10,2015-10-24,92.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,1,0.89
2010-12-25,,,f,1.0,t,t,47.63052548240193,-122.36617406518856,t,House,2,1.0,1.0,1.0,,$120.00,,$40.00,1,$30.00,1,6,t,0,0,27,302,17,2015-06-11,2015-09-28,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict,f,f,1,2.45
2012-05-30,100%,100%,t,1.0,t,t,47.63660544532006,-122.36851905844937,t,House,2,1.0,1.0,1.0,,$80.00,$150.00,,1,$10.00,3,14,t,20,49,71,346,58,2014-01-27,2015-12-07,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1,2.46
2012-10-30,100%,100%,t,5.0,t,t,47.64016054121466,-122.37585597885769,t,Cabin,2,1.0,1.0,1.0,,$60.00,$150.00,$25.00,1,$0.00,2,7,t,22,42,42,100,173,2013-01-03,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,strict,t,t,5,4.73
2012-04-18,,100%,f,1.0,t,t,47.63241029982899,-122.35721606914028,t,Apartment,2,1.0,1.0,1.0,,$90.00,,,1,$0.00,3,1125,t,6,36,66,341,8,2015-06-22,2015-08-17,97.0,10.0,9.0,10.0,9.0,10.0,10.0,f,f,strict,f,f,1,1.22
2013-02-21,98%,100%,t,6.0,t,t,47.63749172022628,-122.3668885909212,t,Apartment,4,1.0,1.0,1.0,,$150.00,$100.00,$40.00,1,$0.00,2,365,t,6,19,49,324,32,2014-04-27,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,t,t,6,1.55
2010-09-19,100%,100%,t,1.0,t,t,47.63548170841016,-122.35847776162176,t,House,2,1.0,1.0,1.0,,$95.00,,$15.00,2,$15.00,3,7,t,0,0,0,153,181,2011-07-21,2015-11-25,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,f,1,3.33
2013-01-06,100%,100%,f,1.0,t,t,47.63721407513561,-122.3600457614146,t,House,2,1.0,1.0,1.0,,$99.00,$500.00,$150.00,1,$0.00,3,1125,t,21,21,21,229,8,2015-05-06,2015-12-16,97.0,10.0,10.0,9.0,10.0,10.0,9.0,f,f,strict,f,f,1,0.98
2014-08-13,100%,100%,t,1.0,t,t,47.63554551151239,-122.37317075183506,t,Apartment,4,1.0,2.0,3.0,,$245.00,$300.00,$95.00,1,$0.00,3,14,t,30,60,90,362,13,2014-11-09,2015-10-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1,0.92
